FY,Received From,Value,Party (specific),Party Group,Receipt type,Category,Subcategory,AEC
2022,N G P Investments (No 2) Pty Ltd,"10,000",Labor (Fed),Labor,Donation Received,Services & Retail Sector,Transportation,🔗
2022,Navitas Limited,"10,000",Labor (Fed),Labor,Donation Received,Education,,🔗
2022,Ownership Matters Pty Ltd,"10,000",Labor (Fed),Labor,Donation Received,Consultancies and Law Firms,Consulting,🔗
2022,P&S Bassat,"10,000",Labor (Fed),Labor,Donation Received,Individual,,🔗
2022,Public House Petersham,"10,000",Labor (Fed),Labor,Donation Received,Services & Retail Sector,Entertainment,🔗
2022,PWC PriceWaterhouseCoopers,"10,000",Labor (Fed),Labor,Donation Received,Consultancies and Law Firms,Accounting/Advisory,🔗
2022,Richard Stiles,"10,000",Labor (Fed),Labor,Donation Received,Individual,,🔗
2022,Robin Bishop,"10,000",Labor (Fed),Labor,Donation Received,Individual,,🔗
2022,Ron and Judy Solomon,"10,000",Labor (Fed),Labor,Donation Received,Individual,,🔗
2022,Simon Harle,"10,000",Labor (Fed),Labor,Donation Received,Individual,,🔗
2022,Speciality Mortgage Consulting,"10,000",Labor (Fed),Labor,Donation Received,Banking and Finance Industry,,🔗
2022,Sportsbet,"10,000",Labor (Fed),Labor,Other Receipt,Gambling - Tobacco - Alcohol,Gambling Industry,🔗
2022,Stephen Green,"10,000",Labor (Fed),Labor,Donation Received,Individual,,🔗
2022,Telstra Corporation,"10,000",Labor (Fed),Labor,Donation Received,Media and Communications,,🔗
2022,The Erko Hotel,"10,000",Labor (Fed),Labor,Donation Received,Services & Retail Sector,Entertainment,🔗
2022,UBS AG,"10,000",Labor (Fed),Labor,Donation Received,Banking and Finance Industry,,🔗
2022,Labor (VIC),"10,000",Labor (Fed),Labor,Donation Received,Intra-Political Party,,🔗
2022,Anacta Strategies,"10,000",Labor (QLD),Labor,Donation Received,Lobbying Firms,,🔗
2022,Anacta Strategies,"10,000",Labor (QLD),Labor,Donation Received,Lobbying Firms,,🔗
2022,Australian Rail Tram & Bus Industry Union (QLD),"10,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Automotive Food Metals Engineering Printing & Kindred Ind. Union,"10,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Automotive Food Metals Engineering Printing & Kindred Ind. Union,"10,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Bernard Sweet,"10,000",Labor (QLD),Labor,Donation Received,Individual,,🔗
2022,Clare Wilkes,"10,000",Labor (QLD),Labor,Donation Received,Individual,,🔗
2022,Clubs Australia,"10,000",Labor (QLD),Labor,Donation Received,Gambling - Tobacco - Alcohol,Hotels/Clubs,🔗
2022,Communications Electrical Electronic Energy Information Postal Plumbing and Allied Services Union of Australia Electrical Division Queensland & Northern Territory Divisional Branch,"10,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Communications Electrical Electronic Energy Information Postal Plumbing and Allied Services Union of Australia Electrical Division Queensland & Northern Territory Divisional Branch,"10,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Communications Electrical Electronic Energy Information Postal Plumbing and Allied Services Union of Australia Electrical Division Queensland & Northern Territory Divisional Branch,"10,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Communications Electrical Electronic Energy Information Postal Plumbing and Allied Services Union of Australia Electrical Division Queensland & Northern Territory Divisional Branch,"10,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,"Construction, Forestry, Maritime, Mining and Energy Union","10,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,David Thomas,"10,000",Labor (QLD),Labor,Donation Received,Individual,,🔗
2022,Ivycliff Pty Ltd,"10,000",Labor (QLD),Labor,Donation Received,Uncategorised Company,,🔗
2022,Maurice Blackburn Lawyers,"10,000",Labor (QLD),Labor,Donation Received,Consultancies and Law Firms,Law Firms,🔗
2022,Maurice Blackburn Lawyers,"10,000",Labor (QLD),Labor,Donation Received,Consultancies and Law Firms,Law Firms,🔗
2022,Maurice Blackburn Lawyers,"10,000",Labor (QLD),Labor,Donation Received,Consultancies and Law Firms,Law Firms,🔗
2022,Maurice Blackburn Lawyers,"10,000",Labor (QLD),Labor,Donation Received,Consultancies and Law Firms,Law Firms,🔗
2022,Maurice Blackburn Lawyers,"10,000",Labor (QLD),Labor,Donation Received,Consultancies and Law Firms,Law Firms,🔗
2022,Morgans Financial Limited,"10,000",Labor (QLD),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Morgans Financial Limited,"10,000",Labor (QLD),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Morgans Financial Limited,"10,000",Labor (QLD),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Mr Peter Thomas Sherwood,"10,000",Labor (QLD),Labor,Donation Received,Individual,,🔗
2022,Pratt Holdings Pty Ltd,"10,000",Labor (QLD),Labor,Donation Received,Manufacturing and Heavy Industry,,🔗
2022,Queensland Hotels Association Union of Employers,"10,000",Labor (QLD),Labor,Donation Received,Gambling - Tobacco - Alcohol,Hotels/Clubs,🔗
2022,Labor (Fed),"10,000",Labor (QLD),Labor,Donation Received,Intra-Political Party,,🔗
2022,The Australian Workers Union of Employees Queensland,"10,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,The Pharmacy Guild of Australia,"10,000",Labor (QLD),Labor,Donation Received,Pharma & Private Health Industry,Pharmaceutical Corporations,🔗
2022,United Workers Union,"10,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Chevron Australia Pty Ltd,"9,900",Labor (WA),Labor,Donation,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Australian Federated Union of Locomotive Employees,"9,795",Labor (QLD),Labor,Other Receipt,Union,,🔗
2022,Sentia Real Estate,"9,715",Liberals (ACT),Liberal/Nationals,Other Receipt,Developers and Property Industry,Developers/Property,🔗
2022,Automotive Food Metals Engineering Printing & Kindred Ind. Union,"9,619",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Sentia Real Estate,"9,407",Liberals (ACT),Liberal/Nationals,Other Receipt,Developers and Property Industry,Developers/Property,🔗
2022,Labor (WA),"9,206",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Sentia Real Estate,"9,165",Liberals (ACT),Liberal/Nationals,Other Receipt,Developers and Property Industry,Developers/Property,🔗
2022,Sentia Real Estate,"9,165",Liberals (ACT),Liberal/Nationals,Other Receipt,Developers and Property Industry,Developers/Property,🔗
2022,Community and Public Sector Union (PSU Group),"9,125",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Kim Harding,"9,112",Labor (Fed),Labor,Donation Received,Individual,,🔗
2022,Westpac Banking Corporation,"9,000",Labor (Fed),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Servcorp Administration Pty Ltd,"9,000",Liberals (NSW),Liberal/Nationals,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Caboolture Property Developments 2 Pty Ltd,"9,000",Labor (QLD),Labor,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Cryptoloc Technology Pty Ltd,"9,000",Labor (QLD),Labor,Other Receipt,Services & Retail Sector,IT,🔗
2022,Social Impact Qld,"9,000",Labor (QLD),Labor,Other Receipt,Consultancies and Law Firms,Public Relations,🔗
2022,Suncorp Group Limited,"9,000",Labor (QLD),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Taylor Connect,"9,000",Labor (QLD),Labor,Donation Received,Individual,,🔗
2022,Trevor Warren,"9,000",Labor (QLD),Labor,Donation Received,Individual,,🔗
2022,Caravan Parks Association of Queensland Limited,"8,800",Labor (QLD),Labor,Other Receipt,Lobbying Firms,,🔗
2022,Caravan Trade & Industries Association of Queensland,"8,800",Labor (QLD),Labor,Other Receipt,Lobbying Firms,,🔗
2022,Turner Freeman Lawyers,"8,800",Labor (QLD),Labor,Other Receipt,Consultancies and Law Firms,Law Firms,🔗
2022,Virtus Health,"8,800",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Woodside Energy Limited,"8,800",Nationals (Fed),Liberal/Nationals,Donation,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,APPEA Limited,"8,800",Nationals (Fed),Liberal/Nationals,Donation,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Social Impact Qld,"8,600",Labor (QLD),Labor,Other Receipt,Consultancies and Law Firms,Public Relations,🔗
2022,Department of the House of Representatives,"8,496",Labor (QLD),Labor,Other Receipt,Government,,🔗
2022,Department of the House of Representatives,"8,496",Labor (QLD),Labor,Other Receipt,Government,,🔗
2022,Department of the House of Representatives,"8,496",Labor (QLD),Labor,Other Receipt,Government,,🔗
2022,Department of the House of Representatives,"8,496",Labor (QLD),Labor,Other Receipt,Government,,🔗
2022,Department of the House of Representatives,"8,442",Labor (QLD),Labor,Other Receipt,Government,,🔗
2022,Department of the House of Representatives,"8,428",Labor (QLD),Labor,Other Receipt,Government,,🔗
2022,Department of the House of Representatives,"8,428",Labor (QLD),Labor,Other Receipt,Government,,🔗
2022,Department of the House of Representatives,"8,428",Labor (QLD),Labor,Other Receipt,Government,,🔗
2022,Department of the House of Representatives,"8,392",Labor (QLD),Labor,Other Receipt,Government,,🔗
2022,Department of the House of Representatives,"8,344",Labor (QLD),Labor,Other Receipt,Government,,🔗
2022,Victorian Electoral Commission,"8,334",Sustainable Australia,,Other Receipt,Government,,🔗
2022,Chevron Australia Pty Ltd,"8,250",Liberals (WA),Liberal/Nationals,Donation,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Health Integra Pty Ltd,"8,250",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Motor Trades Association Of Australia Ltd,"8,250",Labor (Fed),Labor,Other Receipt,Lobbying Firms,,🔗
2022,Swisse Wellness Pty Ltd,"8,250",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Pharmaceutical Corporations,🔗
2022,Swisse Wellness Pty Ltd,"8,250",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Pharmaceutical Corporations,🔗
2022,Advanced Personnel Management,"8,000",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Consulting,🔗
2022,Association of Independently Owned Financial Plann,"8,000",Labor (Fed),Labor,Donation Received,Lobbying Firms,,🔗
2022,Downer Group,"8,000",Labor (Fed),Labor,Other Receipt,Energy and Resource Companies,Other Energy and Resource Companies,🔗
2022,Primary Health Care Limited,"8,000",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Medical Technology Association of Australia Ltd,"8,000",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Paul Cook,"8,000",Labor (Fed),Labor,Donation Received,Individual,,🔗
2022,Department of the House of Representatives,"7,948",Labor (QLD),Labor,Other Receipt,Government,,🔗
2022,Sentia Real Estate,"7,809",Liberals (ACT),Liberal/Nationals,Other Receipt,Developers and Property Industry,Developers/Property,🔗
2022,Labor (NSW),"7,773",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Adani Mining Pty Ltd,"7,700",LNP QLD,Liberal/Nationals,Donation,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Greens (Fed),"7,672",Greens (WA),Greens,Donation Received,Intra-Political Party,,🔗
2022,Whitehaven Coal Limited,"7,500",Liberal Party (Fed),Liberal/Nationals,Donation,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Minerals Council of Australia,"7,500",Liberals (NSW),Liberal/Nationals,Donation,Energy and Resource Companies,Fossil Fuel Industry > Coal - Oil - Gas,🔗
2022,Minerals Council of Australia,"7,500",Liberals (NSW),Liberal/Nationals,Donation,Energy and Resource Companies,Fossil Fuel Industry > Coal - Oil - Gas,🔗
2022,Tamboran Resources,"7,500",Liberals (NSW),Liberal/Nationals,Donation,Energy and Resource Companies,Fossil Fuel Industry > Gas and CSG,🔗
2022,Chevron Australia Pty Ltd,"7,500",Liberals (WA),Liberal/Nationals,Donation,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Wesfarmers Limited,"7,500",Liberals (WA),Liberal/Nationals,Donation,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Helen Silver,"7,500",Labor (Fed),Labor,Donation Received,Individual,,🔗
2022,Holding Redlich,"7,500",Labor (Fed),Labor,Donation Received,Consultancies and Law Firms,Law Firms,🔗
2022,Latitude Financial Services Australia Holdings Pty Ltd,"7,500",Labor (Fed),Labor,Donation Received,Consultancies and Law Firms,Accounting/Advisory,🔗
2022,Mr Leon Kempler OAM,"7,500",Labor (Fed),Labor,Donation Received,Individual,,🔗
2022,Our Community,"7,500",Labor (Fed),Labor,Donation Received,Consultancies and Law Firms,Consulting,🔗
2022,Retail and Trade Brands Advocacy,"7,500",Labor (Fed),Labor,Other Receipt,Lobbying Firms,,🔗
2022,Retail and Trade Brands Advocacy,"7,500",Labor (Fed),Labor,Other Receipt,Lobbying Firms,,🔗
2022,Wise Employment,"7,500",Labor (Fed),Labor,Donation Received,Services & Retail Sector,Social services,🔗
2022,Australian Municipal Administrative Clerical Services Union Queensland Together Branch,"7,500",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Australian Municipal Administrative Clerical Services Union Queensland Together Branch,"7,500",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Sarina Russo Job Access,"7,500",Labor (QLD),Labor,Other Receipt,Services & Retail Sector,Social services,🔗
2022,Springfield Land Corporation,"7,500",Labor (QLD),Labor,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Greens (Fed),"7,058",Greens (WA),Greens,Donation Received,Intra-Political Party,,🔗
2022,The Australian Workers Union of Employees Queensland,"7,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Allira Holdings Pty Ltd,"7,000",Labor (Fed),Labor,Other Receipt,Uncategorised Company,,🔗
2022,Advanced Personnel Management,"7,000",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Consulting,🔗
2022,Bus Industry Confederation,"7,000",Labor (Fed),Labor,Other Receipt,Lobbying Firms,,🔗
2022,KPMG,"7,000",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Accounting/Advisory,🔗
2022,Labor (TAS),"6,964",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Precision Public Affairs Pty Ltd,"6,875",Labor (Fed),Labor,Other Receipt,Lobbying Firms,,🔗
2022,Precision Public Affairs Pty Ltd,"6,875",Labor (Fed),Labor,Other Receipt,Lobbying Firms,,🔗
2022,Precision Public Affairs Pty Ltd,"6,875",Labor (Fed),Labor,Other Receipt,Lobbying Firms,,🔗
2022,Precision Public Affairs Pty Ltd,"6,875",Labor (Fed),Labor,Other Receipt,Lobbying Firms,,🔗
2022,Australian Services Union (QLD Services Branch),"6,810",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Lifestyle Australia Pty Ltd,"6,624",Labor (QLD),Labor,Other Receipt,Services & Retail Sector,Retail & Service,🔗
2022,Maurice Blackburn Lawyers,"6,600",Labor (QLD),Labor,Donation Received,Consultancies and Law Firms,Law Firms,🔗
2022,The Pharmacy Guild of Australia,"6,600",Labor (QLD),Labor,Donation Received,Pharma & Private Health Industry,Pharmaceutical Corporations,🔗
2022,Chevron Australia Pty Ltd,"6,600",Labor (WA),Labor,Donation,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Labor (NSW),"6,566",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Greens (Fed),"6,545",Greens (WA),Greens,Donation Received,Intra-Political Party,,🔗
2022,Minerals Council of Australia,"6,500",Liberals (NSW),Liberal/Nationals,Donation,Energy and Resource Companies,Fossil Fuel Industry > Coal - Oil - Gas,🔗
2022,Morgans Financial Limited,"6,500",Labor (QLD),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,PWC PriceWaterhouseCoopers,"6,400",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Accounting/Advisory,🔗
2022,Labor (Fed),"6,272",Labor (QLD),Labor,Donation Received,Intra-Political Party,,🔗
2022,James Stewart,"6,000",Labor (QLD),Labor,Other Receipt,Individual,,🔗
2022,Labor Holdings Pty Ltd,"6,000",Labor (QLD),Labor,Other Receipt,Political Fundraising Bodies,Associated Entities,🔗
2022,Minerals Council of Australia,"6,000",Liberal Party (Fed),Liberal/Nationals,Donation,Energy and Resource Companies,Fossil Fuel Industry > Coal - Oil - Gas,🔗
2022,Chevron Australia Pty Ltd,"6,000",Liberals (WA),Liberal/Nationals,Donation,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Australian Nursing & Midwifery Federation,"6,000",Labor (Fed),Labor,Other Receipt,Union,,🔗
2022,Health Integra Pty Ltd,"6,000",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Insurance Australia Group Limited,"6,000",Labor (Fed),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Padmanabhan Ramanathan,"6,000",Labor (Fed),Labor,Donation Received,Individual,,🔗
2022,Australian Hotels Association (SA Branch),"5,894",Liberals (SA),Liberal/Nationals,Other Receipt,Gambling - Tobacco - Alcohol,Hotels/Clubs,🔗
2022,Sentia Real Estate,"5,665",Liberals (ACT),Liberal/Nationals,Other Receipt,Developers and Property Industry,Developers/Property,🔗
2022,Labor (ACT),"5,505",Labor (QLD),Labor,Donation Received,Intra-Political Party,,🔗
2022,Australian Services Union (QLD Services Branch),"5,500",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Baxter Healthcare Corporation,"5,500",Labor (QLD),Labor,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Cairns Maritime Activists Social Club,"5,500",Labor (QLD),Labor,Donation Received,Lobbying Firms,,🔗
2022,Corporate Travel Management Group Pty Ltd,"5,500",Labor (QLD),Labor,Other Receipt,Services & Retail Sector,Transportation,🔗
2022,Corporate Travel Management Group Pty Ltd,"5,500",Labor (QLD),Labor,Other Receipt,Services & Retail Sector,Transportation,🔗
2022,Cotton Australia Ltd,"5,500",Labor (QLD),Labor,Other Receipt,Food and Agriculture,,🔗
2022,David Westlake,"5,500",Labor (QLD),Labor,Donation Received,Individual,,🔗
2022,Federal Chamber of Automative Industries,"5,500",Labor (QLD),Labor,Other Receipt,Lobbying Firms,,🔗
2022,GWI Pty Ltd,"5,500",Labor (QLD),Labor,Other Receipt,Consultancies and Law Firms,Public Relations,🔗
2022,GWI Pty Ltd,"5,500",Labor (QLD),Labor,Other Receipt,Consultancies and Law Firms,Public Relations,🔗
2022,Insurance Australia Group Limited,"5,500",Labor (QLD),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,James Doran,"5,500",Labor (QLD),Labor,Other Receipt,Individual,,🔗
2022,Maurice Blackburn Lawyers,"5,500",Labor (QLD),Labor,Donation Received,Consultancies and Law Firms,Law Firms,🔗
2022,Meriton Property Services,"5,500",Labor (QLD),Labor,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Queensland Trucking Association,"5,500",Labor (QLD),Labor,Other Receipt,Services & Retail Sector,Transportation,🔗
2022,Retail Guild of Australia Inc,"5,500",Labor (QLD),Labor,Donation Received,Lobbying Firms,,🔗
2022,Santos Limited,"5,500",Labor (QLD),Labor,Other Receipt,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,The Trustee for Euro Precast (QLD) Unit Trust,"5,500",Labor (QLD),Labor,Other Receipt,Developers and Property Industry,Construction/Industrial,🔗
2022,Watpac Limited,"5,500",Labor (QLD),Labor,Other Receipt,Developers and Property Industry,Engineering,🔗
2022,Wesfarmers Limited,"5,500",Labor (WA),Labor,Donation,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Woodside Energy Limited,"5,500",Labor (WA),Labor,Donation,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Chevron Australia Pty Ltd,"5,500",Labor (WA),Labor,Donation,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Bluechip Communications,"5,500",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Public Relations,🔗
2022,CGM Communications,"5,500",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Public Relations,🔗
2022,CGM Communications,"5,500",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Public Relations,🔗
2022,Cornerstone Group,"5,500",Labor (Fed),Labor,Other Receipt,Lobbying Firms,,🔗
2022,Cornerstone Group,"5,500",Labor (Fed),Labor,Other Receipt,Lobbying Firms,,🔗
2022,Deloitte Touche Tohmatsu,"5,500",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Accounting/Advisory,🔗
2022,Housing Industry Association,"5,500",Labor (Fed),Labor,Other Receipt,Developers and Property Industry,Developers/Property,🔗
2022,Housing Industry Association,"5,500",Labor (Fed),Labor,Other Receipt,Developers and Property Industry,Developers/Property,🔗
2022,Restaurant & Catering Industry Association of Aust,"5,500",Labor (Fed),Labor,Other Receipt,Food and Agriculture,,🔗
2022,Anacta Strategies,"5,500",Labor (QLD),Labor,Donation Received,Lobbying Firms,,🔗
2022,Australian Services Union (QLD Services Branch),"5,448",Labor (QLD),Labor,Other Receipt,Union,,🔗
2022,APPEA Limited,"5,445",Nationals (Fed),Liberal/Nationals,Donation,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Sentia Real Estate,"5,412",Liberals (ACT),Liberal/Nationals,Other Receipt,Developers and Property Industry,Developers/Property,🔗
2022,Labor (WA),"5,364",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Labor (WA),"5,364",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Labor (WA),"5,355",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Labor (WA),"5,355",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Labor (WA),"5,355",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Labor (WA),"5,342",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Labor (WA),"5,342",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Labor (WA),"5,314",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Labor (WA),"5,314",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Labor (WA),"5,299",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Transport Workers Union of Australia Queensland Branch,"5,287",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Greens (Fed),"5,232",Greens (WA),Greens,Donation Received,Intra-Political Party,,🔗
2022,Labor (WA),"5,139",Labor (Fed),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Department of the House of Representatives,"5,083",Labor (QLD),Labor,Other Receipt,Government,,🔗
2022,Greens (Fed),"5,073",Greens (WA),Greens,Donation Received,Intra-Political Party,,🔗
2022,Denis Moriarty,"5,062",Labor (Fed),Labor,Donation Received,Individual,,🔗
2022,Jacob Varghese,"5,062",Labor (Fed),Labor,Donation Received,Individual,,🔗
2022,Warwick Wightman,"5,062",Labor (Fed),Labor,Donation Received,Individual,,🔗
2022,Department of the Senate,"5,034",Labor (QLD),Labor,Other Receipt,Government,,🔗
2022,Kevin Rudd,"5,017",Labor (QLD),Labor,Donation Received,Individual,,🔗
2022,Linda Vella,"5,001",Labor (QLD),Labor,Donation Received,Individual,,🔗
2022,APPEA Limited,"5,000",Labor (QLD),Labor,Other Receipt,Energy and Resource Companies,Fossil Fuel Industry > Oil and Gas,🔗
2022,Association of Marine Park Tourism Operators Limit,"5,000",Labor (QLD),Labor,Donation Received,Services & Retail Sector,Retail & Service,🔗
2022,Australasian Meat Industry Employees Union (QLD),"5,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Australian Banking Association,"5,000",Labor (QLD),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Australian Services Union (QLD Services Branch),"5,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Braidwood farm Pty Ltd,"5,000",Labor (QLD),Labor,Other Receipt,Services & Retail Sector,Retail & Service,🔗
2022,Cameron Clyne,"5,000",Labor (QLD),Labor,Other Receipt,Individual,,🔗
2022,Claire Dobson,"5,000",Labor (QLD),Labor,Donation Received,Individual,,🔗
2022,Communications Electrical Electronic Energy Information Postal Plumbing and Allied Services Union of Australia Electrical Division Queensland & Northern Territory Divisional Branch,"5,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Communications Electrical Electronic Energy Information Postal Plumbing and Allied Services Union of Australia Electrical Division Queensland & Northern Territory Divisional Branch,"5,000",Labor (QLD),Labor,Other Receipt,Union,,🔗
2022,Donna Pickford,"5,000",Labor (QLD),Labor,Other Receipt,Individual,,🔗
2022,Financial Services Council Limited,"5,000",Labor (QLD),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Fortescue Future Industries,"5,000",Labor (QLD),Labor,Other Receipt,Energy and Resource Companies,Other Energy and Resource Companies,🔗
2022,Gail Warren,"5,000",Labor (QLD),Labor,Donation Received,Individual,,🔗
2022,GEON Property,"5,000",Labor (QLD),Labor,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Illira Group Pty Ltd,"5,000",Labor (QLD),Labor,Other Receipt,Consultancies and Law Firms,Consulting,🔗
2022,Kevin Rudd,"5,000",Labor (QLD),Labor,Donation Received,Individual,,🔗
2022,Kilcoy Pastoral Company Limited,"5,000",Labor (QLD),Labor,Donation Received,Food and Agriculture,,🔗
2022,Magnum Australia Pty Ltd,"5,000",Labor (QLD),Labor,Donation Received,Developers and Property Industry,Engineering,🔗
2022,Maurice Blackburn Lawyers,"5,000",Labor (QLD),Labor,Donation Received,Consultancies and Law Firms,Law Firms,🔗
2022,Maurice Blackburn Lawyers,"5,000",Labor (QLD),Labor,Donation Received,Consultancies and Law Firms,Law Firms,🔗
2022,Maurice Blackburn Lawyers,"5,000",Labor (QLD),Labor,Donation Received,Consultancies and Law Firms,Law Firms,🔗
2022,Maurice Blackburn Lawyers,"5,000",Labor (QLD),Labor,Donation Received,Consultancies and Law Firms,Law Firms,🔗
2022,Minack Advisors Pty Ltd,"5,000",Labor (QLD),Labor,Other Receipt,Consultancies and Law Firms,Consulting,🔗
2022,Morgans Financial Limited,"5,000",Labor (QLD),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Our Community,"5,000",Labor (QLD),Labor,Other Receipt,Consultancies and Law Firms,Consulting,🔗
2022,Mr Peter Thomas Sherwood,"5,000",Labor (QLD),Labor,Donation Received,Individual,,🔗
2022,Roslyn Kelly,"5,000",Labor (QLD),Labor,Donation Received,Individual,,🔗
2022,RZ Resources Ltd,"5,000",Labor (QLD),Labor,Other Receipt,Energy and Resource Companies,Other Energy and Resource Companies,🔗
2022,Saorsa Health,"5,000",Labor (QLD),Labor,Other Receipt,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Stewart Morland,"5,000",Labor (QLD),Labor,Donation Received,Individual,,🔗
2022,Talal Yassine,"5,000",Labor (QLD),Labor,Other Receipt,Individual,,🔗
2022,Labor (Fed),"5,000",Labor (QLD),Labor,Donation Received,Intra-Political Party,,🔗
2022,Labor (Fed),"5,000",Labor (QLD),Labor,Donation Received,Intra-Political Party,,🔗
2022,Labor (Fed),"5,000",Labor (QLD),Labor,Donation Received,Intra-Political Party,,🔗
2022,The Australian Workers Union of Employees Queensland,"5,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,The Australian Workers Union of Employees Queensland,"5,000",Labor (QLD),Labor,Donation Received,Union,,🔗
