     ,Donor Name                                                                                 ,Type       ,Industry Sector                                                       ,Canonical Industry Sector
2886 ,Keller Civil Engineers Pty Ltd                                                             ,company    ,Civil engineering and infrastructure development.                     ,
2887 ,Kellogg Brown & Root Pty Ltd                                                               ,company    ,Engineering and Construction                                          ,Engineering and Construction
2888 ,Ken Hinds Engineering Management Pty Ltd                                                   ,company    ,Engineering/Manufacturing industry                                    ,Engineering and Manufacturing
2889 ,JMC Logistics P/L- Trading as NQ Retravision                                               ,company    ,The industry sector for JMC Logistics P/L                             ,Logistics
2890 ,Joan Scott Darling                                                                         ,individual ,                                                                      ,
2891 ,Kendall Grange Properties Pty Limited                                                      ,company    ,Real estate/property development                                      ,Real Estate Development
2892 ,Kennedy White Pty Ltd                                                                      ,company    ,Real estate/Property Development                                      ,Real Estate Development
2893 ,John & Teresa Robar                                                                        ,individual ,                                                                      ,
2894 ,John F Cruickshank                                                                         ,individual ,                                                                      ,
2895 ,Kerr Enterprises (QLD) Pty Ltd                                                             ,company    ,Unknown                                                               ,Unknown
2896 ,Kerry Jones Strategic Management Services Pty Ltd                                          ,company    ,Mediation and Business Consulting Services                            ,Business Consulting
2897 ,Keycorp Limited                                                                            ,company    ,Financial technology or fintech                                       ,FinTech
2898 ,Julia Ross                                                                                 ,individual ,                                                                      ,
2899 ,KFT Investments Pty Ltd                                                                    ,company    ,Unknown                                                               ,Unknown
2900 ,Khaki Investments Pty Ltd                                                                  ,company    ,Unknown                                                               ,Unknown
2901 ,Kidman Holdings Ltd                                                                        ,company    ,Alcohol/Spirits Industry                                              ,Alcohol Industry
2902 ,Kilimanjaro Holdings Pty Ltd                                                               ,company    ,Unknown                                                               ,Unknown
2903 ,Killara Quest Pty Ltd                                                                      ,company    ,Hospitality/Accommodation                                             ,Hospitality
2904 ,Kimbar Nominees Pty Ltd                                                                    ,company    ,Real estate                                                           ,Real Estate
2905 ,Ken Badenoch                                                                               ,individual ,                                                                      ,
2906 ,"Ken Lee, Bing Lee Electronics"                                                            ,individual ,                                                                      ,
2907 ,Kerry and Michael Jones                                                                    ,individual ,                                                                      ,
2908 ,Kimberley Agricultural Investment Pty Ltd                                                  ,company    ,Agriculture/Farming/Food Production                                   ,Agriculture
2909 ,Kimberley Securities Ltd                                                                   ,company    ,Securities or Finance and Banking.                                    ,
2910 ,Kinauld Pty Ltd                                                                            ,company    ,Unknown                                                               ,Unknown
2911 ,Kimberley Diamond Company NL                                                               ,company    ,Mining and natural resources.                                         ,Mining and Minerals
2912 ,Kinbombi Holdings Pty Ltd                                                                  ,company    ,Unknown                                                               ,Unknown
2913 ,Kinbombi Investments Pty Ltd                                                               ,company    ,Unknown                                                               ,Unknown
2914 ,King International Education Services                                                      ,company    ,Education and Training                                                ,Education
2915 ,Kincumber Nautical Village Pty Ltd                                                         ,company    ,Real Estate/Property Development (specifically for                    ,Real Estate Development
2916 ,Kinetic Tco Pty Ltd                                                                        ,company    ,Unknown                                                               ,Unknown
2917 ,Kirkwood Financial Group                                                                   ,company    ,Financial services/Financial planning                                 ,Financial Planning
2918 ,King Fisher Investments Pty Ltd                                                            ,company    ,Unknown                                                               ,Unknown
2919 ,King OMalley Pty Ltd                                                                       ,company    ,Unknown                                                               ,Unknown
2920 ,King Tomislav Croatian Club Ltd                                                            ,company    ,Hospitality and Entertainment                                         ,Hospitality
2921 ,Kings Beach #2 Pty Ltd                                                                     ,company    ,Unknown                                                               ,Unknown
2922 ,Labor Council of New South Wales                                                           ,company    ,The industry sector for Labor Council of New South                    ,Labor Council
2923 ,Latorres Fruit & Veg Wholesalers                                                           ,company    ,Agriculture/Farming/Fruit and Vegetable                               ,Agriculture
2924 ,Latta Grant                                                                                ,individual ,                                                                      ,
2925 ,Kings Beach Project (No 3) Pty Ltd                                                         ,company    ,Construction/Property Development                                     ,Construction
2926 ,Kingsley Developments Pty Ltd                                                              ,company    ,Construction/Real Estate                                              ,Construction and Real Estate
2927 ,Kingston Property Constructions Pty Ltd                                                    ,company    ,Construction/Real estate.                                             ,Real Estate
2928 ,Left Caucus                                                                                ,company    ,Political and Governmental Organizations                              ,Political Organizations
2929 ,Kinkaid Pty Ltd                                                                            ,company    ,Unknown                                                               ,Unknown
2930 ,Kinox Enterprises Pty Ltd                                                                  ,company    ,Unknown                                                               ,Unknown
2931 ,Kintyre Holdings Pty Ltd                                                                   ,company    ,Unknown                                                               ,Unknown
2932 ,Kirman Holdings Pty Ltd                                                                    ,company    ,Unknown                                                               ,Unknown
2933 ,Kirstenbosch Pty Ltd                                                                       ,company    ,Unknown                                                               ,Unknown
2934 ,LHMU ( National Office)                                                                    ,company    ,Unknown                                                               ,Unknown
2935 ,Kjerulf David Pty Ltd                                                                      ,company    ,Unknown                                                               ,Unknown
2936 ,Lingo Lin                                                                                  ,individual ,                                                                      ,
2937 ,Liquor Hospitality & Miscellaneous Workers Union                                           ,company    ,Trade Union/Labor Union                                               ,Labor Union
2938 ,Liquor Hospitality and Miscellaneous Union - WA Branch                                     ,company    ,Labor union/Trade union.                                              ,
2939 ,Liquor Stores Association of NSW Inc                                                       ,company    ,Retail/Alcohol and Beverage Industry                                  ,Alcohol and Beverage Retail
2940 ,Liveringa Pastoral Co                                                                      ,company    ,Agriculture/Livestock                                                 ,Agriculture
2941 ,Longman Campaign Agenda Committee                                                          ,company    ,Unknown                                                               ,Unknown
2942 ,Knight Frank Australia Pty Ltd                                                             ,company    ,Real Estate and Property Services                                     ,Real Estate Services
2943 ,LPA Bennelong FEC                                                                          ,company    ,Unknown                                                               ,Unknown
2944 ,Koastal Pty Ltd                                                                            ,company    ,Unknown                                                               ,Unknown
2945 ,Konstantinou Holdings Pty Ltd                                                              ,company    ,Unknown                                                               ,Unknown
2946 ,M G Kailis                                                                                 ,company    ,Seafood/Fishing Industry                                              ,Seafood Industry
2947 ,M Skuba Fasta Couriers                                                                     ,individual ,                                                                      ,
2948 ,M/- Alan & Carol Schwartz                                                                  ,individual ,                                                                      ,
2949 ,M/- Brian & Annabelle Taylor                                                               ,individual ,                                                                      ,
2950 ,M/- Carmine Imanuele                                                                       ,individual ,                                                                      ,
2951 ,M/- David & Marie Brettig                                                                  ,individual ,                                                                      ,
2952 ,M/- David & Rosemary Lawson                                                                ,individual ,                                                                      ,
2953 ,M/- Davida Allen                                                                           ,individual ,                                                                      ,
2954 ,M/- Donald & Jane Morley                                                                   ,individual ,                                                                      ,
2955 ,M/- F & R Axisa                                                                            ,individual ,                                                                      ,
2956 ,M/- G C Ogden                                                                              ,individual ,                                                                      ,
2957 ,M/- Garry & Annette Fiedler                                                                ,individual ,                                                                      ,
2958 ,M/- GR Embelton                                                                            ,individual ,                                                                      ,
2959 ,M/- Haidee Lance                                                                           ,individual ,                                                                      ,
2960 ,M/- Hengki P Turangan                                                                      ,individual ,                                                                      ,
2961 ,M/- Huey Lay Chung                                                                         ,individual ,                                                                      ,
2962 ,M/- J D Anthony                                                                            ,individual ,                                                                      ,
2963 ,M/- James and Anna Wilson                                                                  ,individual ,                                                                      ,
2964 ,M/- James Peter & Marjorie Joan Boothman                                                   ,individual ,                                                                      ,
2965 ,M/- John & Jodie Livermore                                                                 ,individual ,                                                                      ,
2966 ,M/- John and Melinda Gray                                                                  ,individual ,                                                                      ,
2967 ,M/- Keith & Beryl Turner                                                                   ,individual ,                                                                      ,
2968 ,M/- L & M Papiccio                                                                         ,individual ,                                                                      ,
2969 ,M/- L Kerr                                                                                 ,individual ,                                                                      ,
2970 ,M/- L S Ng                                                                                 ,individual ,                                                                      ,
2971 ,M/- M Dombkins                                                                             ,individual ,                                                                      ,
2972 ,M/- M M Anthony                                                                            ,individual ,                                                                      ,
2973 ,M/- MJ & JA Moore Moore                                                                    ,individual ,                                                                      ,
2974 ,M/- Nuala Keating                                                                          ,individual ,                                                                      ,
2975 ,M/- P & B Naughton                                                                         ,individual ,                                                                      ,
2976 ,M/- Paget Sayers                                                                           ,individual ,                                                                      ,
2977 ,M/- Pat Scallan                                                                            ,individual ,                                                                      ,
2978 ,M/- RE & MJ Hamilton                                                                       ,individual ,                                                                      ,
2979 ,M/- RJ Owens                                                                               ,individual ,                                                                      ,
2980 ,M/- Satinder Randall                                                                       ,individual ,                                                                      ,
2981 ,M/- Suliman A Sabdia                                                                       ,individual ,                                                                      ,
2982 ,M/- T V Fairfax                                                                            ,individual ,                                                                      ,
2983 ,M/- Terry & Alison Lillis                                                                  ,individual ,                                                                      ,
2984 ,M/- Thomas and Beverley Hanson                                                             ,individual ,                                                                      ,
2985 ,M/- TR & MJ Buswell                                                                        ,individual ,                                                                      ,
2986 ,M/- Ulrich Mehnert                                                                         ,individual ,                                                                      ,
2987 ,M/- V A Blums                                                                              ,individual ,                                                                      ,
2988 ,M/- W & V Leong                                                                            ,individual ,                                                                      ,
2989 ,M/- Wayne & Noelene Palmer                                                                 ,individual ,                                                                      ,
2990 ,M/- Yola Scotti                                                                            ,individual ,                                                                      ,
2991 ,M/s Alison Peters                                                                          ,individual ,                                                                      ,
2992 ,M/s Angela Rutherford                                                                      ,individual ,                                                                      ,
2993 ,M/s Anne-Marie Corboy                                                                      ,individual ,                                                                      ,
2994 ,M/s Annette Fielder                                                                        ,individual ,                                                                      ,
2995 ,M/s Beatrice Eileen Faust                                                                  ,individual ,                                                                      ,
2996 ,M/s Carmen Fusco                                                                           ,individual ,                                                                      ,
2997 ,M/s Carolyn Anne Jakobsen                                                                  ,individual ,                                                                      ,
2998 ,M/s Christine Modra                                                                        ,individual ,                                                                      ,
2999 ,M/s Christine Smith                                                                        ,individual ,                                                                      ,
3000 ,M/s Delysia E Farthing                                                                     ,individual ,                                                                      ,
3001 ,M/s Diane Elizabeth (Dee) Margetts                                                         ,individual ,                                                                      ,
3002 ,M/s Dianne M Lucas                                                                         ,individual ,                                                                      ,
3003 ,M/s Evita Feeney                                                                           ,individual ,                                                                      ,
3004 ,M/s H S Findlay                                                                            ,individual ,                                                                      ,
3005 ,M/s Helena Chen                                                                            ,individual ,                                                                      ,
3006 ,M/s Janet Lee  Holmes a Court                                                              ,individual ,                                                                      ,
3007 ,M/s Janice Elizabeth Schultz                                                               ,individual ,                                                                      ,
3008 ,M/s Janie Mason                                                                            ,individual ,                                                                      ,
3009 ,M/s Jennifer Rae Johnston                                                                  ,individual ,                                                                      ,
3010 ,M/s Jill Van Der Klauw                                                                     ,individual ,                                                                      ,
3011 ,M/s Joyce Risstrom                                                                         ,individual ,                                                                      ,
3012 ,M/s Judith K Latta                                                                         ,individual ,                                                                      ,
3013 ,M/s Mandy Martin                                                                           ,individual ,                                                                      ,
3014 ,M/s Maria Manning                                                                          ,individual ,                                                                      ,
3015 ,M/s Michelle Quigley                                                                       ,individual ,                                                                      ,
3016 ,M/s Naomi Milgrom                                                                          ,individual ,                                                                      ,
3017 ,M/s Paula Hunt                                                                             ,individual ,                                                                      ,
3018 ,M/s Roslyn Tayler                                                                          ,individual ,                                                                      ,
3019 ,M/s Shelley Archer MLC                                                                     ,individual ,                                                                      ,
3020 ,M/s Susan Clarke                                                                           ,individual ,                                                                      ,
3021 ,M/s Yvonne J Boss                                                                          ,individual ,                                                                      ,
3022 ,Kookynie Holding Pty Ltd                                                                   ,company    ,Construction/Real Estate/Property Development                         ,Real Estate Development
3023 ,Koolyara Pty Ltd (Unions WA)                                                               ,company    ,Construction/Real Estate/Property Development                         ,Real Estate Development
3024 ,Mackay Estates                                                                             ,company    ,Unknown                                                               ,Unknown
3025 ,Krambach Pty Ltd                                                                           ,company    ,Unknown                                                               ,Unknown
3026 ,Krispy Kreme Australia Pty Ltd                                                             ,company    ,Food/Beverage/Retail                                                  ,Food and Beverage Retail
3027 ,Madura Plains Proprietors                                                                  ,company    ,Unknown                                                               ,Unknown
3028 ,KTQ Group Pty Ltd                                                                          ,company    ,Unknown                                                               ,Unknown
3029 ,Kudos Consultants Pty Ltd                                                                  ,company    ,Unknown                                                               ,Unknown
3030 ,Kulin Holdings Pty Ltd (T/as Cheers Bar & Grill)                                           ,company    ,Hospitality/Food and Beverage (specifically                           ,Hospitality
3031 ,Kumar Motors Pty Ltd                                                                       ,company    ,Transportation/Automotive                                             ,Transportation
3032 ,KY United Investment Pty Ltd                                                               ,company    ,Unknown                                                               ,Unknown
3033 ,Maloney Hotel Corporation P/L                                                              ,company    ,Hospitality                                                           ,Hospitality
3034 ,L & F Fitch Pty Ltd                                                                        ,company    ,Construction/Building materials                                       ,Construction Materials
3035 ,L Bisinella Developments Pty Ltd                                                           ,company    ,Real estate development and construction industry.                    ,Real Estate
3036 ,Maritime Union of Australia                                                                ,company    ,Transportation/Shipping/Logistics/Labor                               ,Transportation
3037 ,Maritime Union of Australia-Southern Queensland Branch                                     ,company    ,Transportation & Services                                             ,Transportation
3038 ,L P R Taylor & Associates Pty Ltd                                                          ,company    ,Unknown                                                               ,Unknown
3039 ,La Fiamma Publishing (NSW) Pty Ltd                                                         ,company    ,Publishing/Media                                                      ,Publishing
3040 ,La Pasta Pty Ltd                                                                           ,company    ,Food manufacturing and distribution.                                  ,
3041 ,Labour Day Pty Ltd                                                                         ,company    ,Unknown                                                               ,Unknown
3042 ,Labrollis Pty Ltd                                                                          ,company    ,Unknown                                                               ,Unknown
3043 ,Lajovic Holdings Pty Ltds                                                                  ,company    ,Unknown                                                               ,Unknown
3044 ,Martin Ferguson Campaign Account                                                           ,individual ,                                                                      ,
3045 ,Marye L Daniels                                                                            ,individual ,                                                                      ,
3046 ,Master Builders Association of the ACT                                                     ,company    ,Construction/Building Industry                                        ,Construction
3047 ,Master Builders Association of Victoria                                                    ,company    ,Building and construction industry.                                   ,
3048 ,Master Cleaners Guild of WA                                                                ,company    ,Cleaning services or commercial cleaning.                             ,
3049 ,Lambhill Pty Ltd                                                                           ,company    ,Unknown                                                               ,Unknown
3050 ,Lamrock Pty Ltd                                                                            ,company    ,Unknown                                                               ,Unknown
3051 ,Lancbil Builders Pty Ltd                                                                   ,company    ,Construction/Building                                                 ,Construction
3052 ,McCann Property and Planning                                                               ,company    ,Real Estate/Property Development                                      ,Real Estate Development
3053 ,Land SA Pty Ltd                                                                            ,company    ,Real Estate/Property.                                                 ,Real Estate
3054 ,Landlift Pty Ltd                                                                           ,company    ,Construction/Infrastructure                                           ,Construction
3055 ,Largo Investment Consulting Group Pty Ltd                                                  ,company    ,Financial services and consulting                                     ,Financial Services
3056 ,Melbourne Aquarium                                                                         ,company    ,Entertainment/Tourism/Leisure                                         ,Entertainment
3057 ,Meridien                                                                                   ,company    ,Unknown                                                               ,Unknown
3058 ,Larkfield Estate Pty Ltd                                                                   ,company    ,Wine and Alcohol Production/Manufacturing.                            ,
3059 ,Larna Pty Ltd                                                                              ,company    ,Unknown                                                               ,Unknown
3060 ,Michael Ball                                                                               ,individual ,                                                                      ,
3061 ,Laston Pty Ltd                                                                             ,company    ,Unknown                                                               ,Unknown
3062 ,Laundy Trading Pty Ltd                                                                     ,company    ,Unknown                                                               ,Unknown
3063 ,Laurence Lancini Constructions Pty Ltd                                                     ,company    ,Construction/Building                                                 ,Construction
3064 ,Laval Service Co Pty Ltd                                                                   ,company    ,Unknown                                                               ,Unknown
3065 ,Lawnlake Pty Ltd                                                                           ,company    ,Landscaping or Gardening services                                     ,Landscaping
3066 ,LAXALES HAIR & BEAUTY SUPPLIES PTY LTD                                                     ,company    ,Beauty and Cosmetics/Luxury Retail.                                   ,
3067 ,Lazard Pty Ltd                                                                             ,company    ,Financial Services                                                    ,Financial Services
3068 ,LB Conservation Pty Ltd ATF LB Conservation Trust                                          ,company    ,Unknown                                                               ,Unknown
3069 ,Le Cornu Furniture & Carpet Centre Pty Ltd                                                 ,company    ,Furniture and Home Furnishings                                        ,Furniture
3070 ,Miracleworth P/L                                                                           ,company    ,Unknown                                                               ,Unknown
3071 ,Leagues Clubs Australia Ltd                                                                ,company    ,Hospitality/Entertainment                                             ,Hospitality
3072 ,LeCornu Contractors Pty Ltd                                                                ,company    ,Construction/Contracting/Building                                     ,Construction
3073 ,Leda Holdings Pty Ltd                                                                      ,company    ,Unknown                                                               ,Unknown
3074 ,Molly Robson                                                                               ,individual ,                                                                      ,
3075 ,Ledehai Pty Ltd T/a North Star Holiday Resort                                              ,company    ,Hospitality and Tourism                                               ,Hospitality and Tourism
3076 ,Morton Business Trust T/as Mortons - Urban Solutions                                       ,company    ,Construction/Real Estate Development/Urban Planning                   ,Real Estate Development
3077 ,Lee Partners Pty Ltd                                                                       ,company    ,Unknown                                                               ,Unknown
3078 ,Mr & Mr K Collins                                                                          ,individual ,                                                                      ,
3079 ,Mr & Mrs Graham and Catherine Eaton                                                        ,individual ,                                                                      ,
3080 ,Mr & Mrs Jim & Julie Diamantis                                                             ,individual ,                                                                      ,
3081 ,Mr & Mrs RB & KD Hughes                                                                    ,individual ,                                                                      ,
3082 ,Mr A L Wedemeyer                                                                           ,individual ,                                                                      ,
3083 ,Mr Alan D Buchanan                                                                         ,individual ,                                                                      ,
3084 ,Mr Alan G Boyd                                                                             ,individual ,                                                                      ,
3085 ,Mr Alfred Edwards                                                                          ,individual ,                                                                      ,
3086 ,Mr Alfred George Moufarrige                                                                ,individual ,                                                                      ,
3087 ,Mr Allan Moss                                                                              ,individual ,                                                                      ,
3088 ,Mr Andrew Douglas Cummins                                                                  ,individual ,                                                                      ,
3089 ,Mr Andrew Evans                                                                            ,individual ,                                                                      ,
3090 ,Mr Andrew Greelman                                                                         ,individual ,                                                                      ,
3091 ,Mr Andrew King                                                                             ,individual ,                                                                      ,
3092 ,Mr Andrew Magee                                                                            ,individual ,                                                                      ,
3093 ,Mr Andrew Sibley                                                                           ,individual ,                                                                      ,
3094 ,Mr Anthony Clark                                                                           ,individual ,                                                                      ,
3095 ,Mr Anthony Darling                                                                         ,individual ,                                                                      ,
3096 ,Mr Anthony George Hodgson                                                                  ,individual ,                                                                      ,
3097 ,Mr Anthony Rubin                                                                           ,individual ,                                                                      ,
3098 ,Mr Barry Sydney Patterson                                                                  ,individual ,                                                                      ,
3099 ,Mr Basil Sellars                                                                           ,individual ,                                                                      ,
3100 ,Mr Brendan OConnor MP                                                                      ,individual ,                                                                      ,
3101 ,Mr Brian Sherman                                                                           ,individual ,                                                                      ,
3102 ,Mr Bruce Anderson                                                                          ,individual ,                                                                      ,
3103 ,Mr Bruce McWilliam                                                                         ,individual ,                                                                      ,
3104 ,Mr Bruno Camarri                                                                           ,individual ,                                                                      ,
3105 ,Mr Charles Peter Ingle                                                                     ,individual ,                                                                      ,
3106 ,Mr Cholmondeley Darvall                                                                    ,individual ,                                                                      ,
3107 ,Mr Christopher Boyce                                                                       ,individual ,                                                                      ,
3108 ,Mr Christopher John Daws                                                                   ,individual ,                                                                      ,
3109 ,Mr Clement Winton                                                                          ,individual ,                                                                      ,
3110 ,Mr Colin B Horne                                                                           ,individual ,                                                                      ,
3111 ,Mr Colin Geoffrey Edwardes                                                                 ,individual ,                                                                      ,
3112 ,Mr Colin Whinlop                                                                           ,individual ,                                                                      ,
3113 ,Mr Craig Anthony Emerson                                                                   ,individual ,                                                                      ,
3114 ,Mr D Aarts                                                                                 ,individual ,                                                                      ,
3115 ,Mr Dale S Frankel                                                                          ,individual ,                                                                      ,
3116 ,Mr Darrell Butcher                                                                         ,individual ,                                                                      ,
3117 ,Mr Darryl Smalley                                                                          ,individual ,                                                                      ,
3118 ,Mr David Byrne                                                                             ,individual ,                                                                      ,
3119 ,Mr David Gunnyon                                                                           ,individual ,                                                                      ,
3120 ,Mr David Mandie                                                                            ,individual ,                                                                      ,
3121 ,Mr David Molloy                                                                            ,individual ,                                                                      ,
3122 ,Mr David Pearson                                                                           ,individual ,                                                                      ,
3123 ,Mr David R Kemp                                                                            ,individual ,                                                                      ,
3124 ,Mr David Stuart Tully                                                                      ,individual ,                                                                      ,
3125 ,Mr David Templeman                                                                         ,individual ,                                                                      ,
3126 ,Mr Dennis L Muldoon                                                                        ,individual ,                                                                      ,
